,Tweets,len,Date,Source,Likes,RTs,Sentiment
0,PC and BC must now be chargesheeted in the INX Media case too. It is a gross corruption case. Moreover PC asked Ind… ,117,2018-11-27 04:41:17,TweetCaster for iOS,9592,3713,0
1,"BREAKING NEWS!
Man takes responsibility for his own actions without dragging Nehru into it. ",92,2018-11-27 11:47:55,Twitter for Android,11198,3026,1
2,Whoa!  just confirmed that she will be making her Bollywood debut super soon! Find out all the details… ,104,2018-11-27 11:40:16,Twitter Web Client,925,196,1
3,I liked a  video  This Is Why I Left BOLLYWOOD ?,48,2018-11-28 19:21:52,Google,0,0,1
4,. went up on stage minutes ago and congratulated  &amp;  The newlyweds… ,72,2018-11-28 19:20:56,Twitter Web Client,1,0,0
5,"Actor Rahul Bose, who was last seen in Vishwaroopam II, has said that he will start shooting for Baahubali Before t… ",117,2018-11-28 19:20:52,Hocalwire,0,0,0
6,"Here's why  is the perfect son-in-law!

",40,2018-11-28 19:20:49,TweetDeck,1,1,1
7,  Provide evidence as to a pigeon spy? You guys get a low life orphan from road and spice h… ,93,2018-11-28 19:20:25,Twitter for iPhone,0,0,0
8,bonga cams dagfs dp beautiful videos playboy tv dogfart network teens porno cumshots hardx youporn evil angel mexic… ,117,2018-11-28 19:20:06,Женечка Осинцева's 391975 Blog,0,0,-1
9,"As a political allegory, #Pataakha might be too obvious&amp; simplistic but it is spirited,purposeful filimmaking with… ",120,2018-11-28 19:19:48,Twitter for Android,1,0,0
10,"#Music from #IndianCinema #Bollywood #BollywoodNews #zeenews #NDTV 

 ",70,2018-11-28 19:18:30,Twitter Lite,1,0,0
11,   watched pataakha today you both are bombs in terms of acting in bollywood.all the best to both of you.,105,2018-11-28 19:18:28,Twitter Lite,0,0,1
12,"For anyone who thinks that Bollywood is big, it can sometimes pale into insignificance next to the South Indian fil… ",117,2018-11-28 19:18:26,LinkedIn,0,0,-1
13, Hahahha I love how you follow bollywood gupshup religiously,60,2018-11-28 19:18:19,Twitter Lite,0,0,1
14,Tanushree Dutta &amp; Nana Patekar Controversy: Daisy Shah Becomes A Witness In The Case; Here's How #bollywood ,112,2018-11-28 19:18:18,Bollywood Talk,0,0,0
15,"Bollywood couple  and  hosted a wedding reception in Mumbai

📸 pic credit:… ",76,2018-11-28 19:18:02,Twitter for Android,0,0,0
16," ""Not the victims to be some Bollywood heroes."" I think you are conjecturing too much here. And how is ad… ",107,2018-11-28 19:17:22,Twitter Web Client,0,0,1
17,  Hahaha It happens when you watch too much Bollywood crap.What about lies about fraud surgic… ,95,2018-11-28 19:17:21,Twitter for iPhone,0,0,-1
18,"Not Rajinikanth and Aishwarya Rai Bachchan, Shah Rukh Khan and Priyanka Chopra were the first choice for Robot - Ti… ",117,2018-11-28 19:16:46,IFTTT,0,0,1
19,I need to start watching Bollywood movies.,42,2018-11-28 19:15:47,Twitter for iPhone,0,0,0
20,I would just like to take the opportunity and say that Indian wedding clothes are so freakin fancy and lit! IM DECE… ,117,2018-11-28 19:15:38,Twitter for iPhone,0,0,0
21, One of the best Bollywood has ever produced undoubtedly!,57,2018-11-28 19:15:23,Twitter for Android,0,0,1
22,Storytelling Has Been Special Part Of My Growing Up Years: Radhika Apte ,72,2018-11-28 19:15:06,Facebook,0,0,1
23,I added a video to a  playlist  Priyanka aur Nick ka apne guests ko itna mehanga tohfa | Latest,95,2018-11-28 19:15:00,Google,0,0,1
24,"The god of music, the nightangle of Torronto and the mega superstar of bollywood..
Thank you a lot  ",100,2018-11-28 19:14:33,Twitter for Android,0,0,0
25,Bollywood physics will always be funny ,39,2018-11-28 19:14:22,Twitter for iPhone,1,0,1
26,THIS SATURDAY 1ST DECEMBER betosbarkitchen  BOLLYWOOD ZONE ALONG SIDE  ,71,2018-11-28 19:14:18,Instagram,0,0,0
27,"Most of all, seeing #PaintOurWorld kids excitement when they got a surprise video call from their hero - Bollywood… ",116,2018-11-28 19:14:04,Twitter for iPhone,0,0,1
28,"Ranveer on choosing Lake Como: Wanted Deepika's wish fulfilled, that's the first step in being husband of the mille… ",117,2018-11-28 19:13:44,IFTTT,0,0,1
29,"As  says, oops I did it again. I seem to have a problem with my horses in  #RDR2… ",82,2018-11-28 19:12:13,Twitter for Android,1,1,0
30,‘ that brought Bollywood to America ‘ ,38,2018-11-28 19:12:01,Twitter for iPhone,0,0,0
31,#NickYankaWedding: Groom-to-be's big brother Kevin Jonas arrives in Mumbai with his wife Danielle- view pics ,109,2018-11-28 19:11:59,IFTTT,0,0,0
32,Shocking Embarrassing Moments of Bollywood Actress.  ,53,2018-11-28 19:10:46,WordPress.com,0,0,-1
33,"Actor Paras Saluja, who featured in Sonam Kapoorstarrer Dolly Ki Doli, will turn producer with the upcoming movie L… ",117,2018-11-28 19:10:01,Hocalwire,0,0,0
34,#NickYankaWedding: Groom-to-be's big brother Kevin Jonas arrives in Mumbai with his wife Danielle- view pics ,109,2018-11-28 19:09:43,Bollywoodlife,9,0,0
35,"No Scams Here! Only a young woman trying to further her education &amp; career in the Film &amp; TV industry, who needs a l… ",125,2018-11-28 19:09:37,Twitter Web Client,0,0,1
36, Hope u watch my Bollywood #mashup #cover Of #consequences. I ❤️ this song. I Hope you ❤️ my cover a… ,102,2018-11-28 19:07:41,Twitter Lite,0,0,0
37," 5 receptions? One reception from her parents, one from his parents, and one Bollywood reception. Whether… ",107,2018-11-28 19:07:33,Twitter for Android,0,0,0
