,Tweets,len,Date,Source,Likes,RTs,Sentiment
0,"p. trump says he’s read “some” of global warming report -but doesn’t believe it.
huh?
work of int’l group of brilli… ",117,2018-11-27 09:34:46,Twitter for iPad,7327,1112,0
1,"Global CO2 emissions increased in 2017, after a three-year decline. Countries must move faster and with much greate… ",117,2018-11-27 15:26:54,TweetDeck,1142,852,1
2,The window of opportunity is closing to limit global warming to 1.5°C. National commitments to address climate chan… ,117,2018-11-27 21:59:36,TweetDeck,432,291,0
3,Ever notice that a twenty foot sea level rise would wipe out the democrats voting population centers. I bet I could… ,117,2018-11-28 18:48:52,Facebook,0,0,0
4,'Idiotic': Climate experts destroy Trump's nonsensical comments on global warming  ,83,2018-11-28 18:48:40,Twitter Web Client,0,0,-1
5,"I celebrated Christmas with the Kranks. (Pause)...Very Good People, Very Genuine people, Mr. Krank has been a frien… ",117,2018-11-28 18:48:25,Twitter Lite,0,0,1
6," You are like the people who say ""it is snowing, therefore no global warming.""  Literally some of the b… ",105,2018-11-28 18:48:23,Twitter Web Client,0,0,0
7,"A thousand leaves fall from the trees
But if that’s winter calling,
Why are there still ten thousand bees 
On bloss… ",117,2018-11-28 18:48:09,Twitter Web Client,0,0,0
8, Now thats one way to cut world hunger but the GAS from that beast will cause global warming..   Damned if you do Damned if you don't...,136,2018-11-28 18:47:57,Twitter Web Client,0,0,0
9,Cunts flying about in a 747 carrying a dozen people but as long as we put our milk bottles in the right bin we’ll s… ,117,2018-11-28 18:47:52,Twitter for iPhone,0,0,1
10,So anyway if your global warming is so accurate by then I won't need much heating lol,85,2018-11-28 18:47:41,Twitter for Android,0,0,1
11,"  Dan, I work with researchers. It is a cynical truth that research that confounds ""global w… ",94,2018-11-28 18:47:40,Twitter Web Client,0,0,-1
12," 😀😀Yes,I live in North Palm Beach Florida and it was in the 50's this morning and that's cold to us. This… ",107,2018-11-28 18:47:37,Twitter for Android,0,1,-1
13,"Bicyclists need to ride single file, obey laws; president needs to lead on global warming | Letters… ",101,2018-11-28 18:47:04,SocialFlow,0,0,-1
14," If memory serves.., and it doesn't always, ""Global Warming"" was originally caused by the 'hole in the… ",104,2018-11-28 18:47:04,Twitter Web Client,0,0,1
15,"Lawrence Martin: ""Instead of global warming or climate change, the affliction should be called what it is: climate… ",116,2018-11-28 18:47:02,Twitter Web Client,0,0,0
16,   Not sure what this has to do with global warming; but we can definit… ,73,2018-11-28 18:46:34,Twitter Web Client,0,0,-1
17, Prefer the old format for you. But still listen from 7. Thought the guy Ian(?) talking about growth being… ,108,2018-11-28 18:46:29,Twitter Web Client,0,0,1
18,Ummm… I think you should check in with #FlintWaterCrisis and #CaliforniaFires before you talk about clean water and… ,117,2018-11-28 18:46:15,Twitter Web Client,0,0,1
19,"  And again, I'll point to the fact that 100% of all global warming predictions issued in the… ",95,2018-11-28 18:46:14,Twitter for Android,0,0,0
20," I like that. Now why DON'T we do that all over the world. No more food shortages, extinct animals,… ",101,2018-11-28 18:46:06,Twitter Lite,0,0,-1
21,        ,8,2018-11-28 18:45:21,TweetDeck,1,0,0
22,  I am not familiar with the substance of oil companies climate change denial policie… ,87,2018-11-28 18:45:16,Twitter for iPhone,0,0,-1
23,"Climate Endangered Map

Global warming threatens the birds we love. Take action with  to help the Bu… ",102,2018-11-28 18:45:11,Twitter Web Client,0,0,1
24,Panache's product system overall contribute to combat Global Warming. #panachegreen #cooltops #cool #green #cities #vadodara,124,2018-11-28 18:45:00,TweetDeck,0,0,1
25,"  Never mind global warming, world security and Brexit. This eel skin menace has to be a priority...",100,2018-11-28 18:44:59,Twitter Lite,1,0,0
26,"I'm like hella pumped for the winter classic game, but I'm hella not pumped for how cold its gonna be. I need globa… ",117,2018-11-28 18:44:56,Twitter for Android,0,0,-1
27, Dude! Global warming?,22,2018-11-28 18:44:53,Twitter for iPhone,0,0,0
28,"It's weird, when I use words not so good and make shit up at work, they get mad at me. Why is our #IdiotInChief exe… ",117,2018-11-28 18:44:31,Twitter Web Client,0,0,-1
29, Science told us we would all be burnt to a crisp by now. Said we would be flooded. REAL Science has ve… ,105,2018-11-28 18:44:29,Twitter for iPhone,0,0,1
30," OBAMA and his ""Global Warming"" crowd were the VERY ESSENCE OF THE ATTEMPT TO SHUT THE OIL INDUSTRY DOWN ENTIRELY.",114,2018-11-28 18:44:15,Twitter Web Client,0,0,1
31, Global warming and climate change.,35,2018-11-28 18:43:46,Twitter for iPhone,0,0,0
32," Am I the only one who looks at the  stadium mock ups and is like- uh, what about global warming, you guys?",107,2018-11-28 18:43:44,Twitter for iPhone,0,0,0
33,"""The findings also may have implications for the future, The AMOC is weakening now because of global warming and me… ",117,2018-11-28 18:43:10,Facebook,0,0,0
34, So global warming took a break this year ? Lol,47,2018-11-28 18:43:07,Twitter for iPhone,1,1,1
35,2019 Keeling Curve Prize recognizes dynamic global warming solutions ,69,2018-11-28 18:43:05,FNTweetCenterPress,0,0,0
36,Climate report Trump tried to bury: key findings No 2 – some action is far better than none ,92,2018-11-28 18:43:03,Twitter Web Client,0,0,1
37, Lol global warming!,20,2018-11-28 18:42:25,Twitter for iPhone,0,0,1
38,   He's a very smart guy! And he's calling everyone's bluff! It's all a big fat sca… ,85,2018-11-28 18:41:34,Twitter for iPhone,0,0,1
39,"
Government Grant Financed Climate Change Scientist Admits President Trump is Right - ITS A HOAX",96,2018-11-28 18:41:30,Twitter for Android,0,0,1
40,Global warming. ,16,2018-11-28 18:41:25,Twitter for iPhone,0,0,0
41,  Odin is like baby boomers dying before global warming hits us,63,2018-11-28 18:41:13,Twitter for iPhone,0,0,0
42,   That end got to me Global warming’s happening and they won’t make electric cars 🍃 possible smh GM,100,2018-11-28 18:41:08,Twitter for iPhone,0,0,0
43,"As I sit here in shorts and it almost being December, I read this confirming report on Global Warming -- The Nation… ",117,2018-11-28 18:41:06,Facebook,0,0,0
44,Listening to this guy at work try to explain Global Warming and how it’s not what we think...............thermomete… ,117,2018-11-28 18:40:49,Twitter Lite,0,0,0
